"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"84",2169,0,1.81876218318939,0,7.70475816726685,0,4.57729911804199,-11.9648685455322,0.0248903073370457,3,-12,-0.484683811664581,3,9.14455358086181,-1,-12,3,0,0,1.82,0.72780229725,3.10788,1.41,0.3
"85",2170,0,1.81876218318939,0,-7.92144107818604,0,4.33319568634033,-12.0781993865967,0.0107950493693352,2.92730188369751,-12,0.242821156978607,3,9.21052169831956,-1,-12,3,0,0,1.82,0.72780229725,3.28054,1.41,0.3
"86",2179,0,1.81876218318939,0,0.027695519849658,0,-9.04554653167725,-12.0369596481323,-0.0930104553699493,3.18213510513306,-12,0.0306322332471609,3,9.22662330506037,-1,-12,3,0,0,1.82,0.72780229725,4.83448,1.41,0.3
"87",2189,0,1.81876218318939,0,-7.82489061355591,0,4.44055366516113,-12.0141706466675,-0.179190129041672,3.00266003608704,-12,0.576261043548584,3,9.17906997226851,-1,-12,3,0,0,1.82,0.72780229725,6.56108,1.41,0.3
"88",2195,0,1.81876218318939,0,-7.73735570907593,0,4.46027135848999,-11.8826704025269,-0.191269934177399,3.14802718162537,-12,0.242821156978607,3,9.11419708450802,-1,-12,3,0,0,1.82,0.72780229725,7.59704,1.41,0.3
"89",3060,0,1.81876218318939,0,-5.11226081848145,0,-7.45329523086548,-10.9677352905273,0.00859737675637007,-5.87075519561768,-11,-0.151243984699249,-6,9.21925783213362,-1,-11,-6,0,0,1.82,0.72780229725,1.55394,1.41,0.3
"90",3082,0,1.81876218318939,0,-4.97542428970337,0,-7.53206634521484,-10.8749656677246,0.00859592016786337,-6.00943660736084,-11,0.15188305079937,-6,9.2084074420162,-1,-11,-6,0,0,1.82,0.72780229725,5.35246,1.41,0.3
"91",3085,0,1.81876218318939,0,-5.0888876914978,0,-7.45125675201416,-10.9332895278931,0.0232726614922285,-5.89160633087158,-11,-0.151243984699249,-6,9.20466744623572,-1,-11,-6,0,0,1.82,0.72780229725,5.87044,1.41,0.3
"92",3086,0,1.81876218318939,0,-3.98600339889526,0,8.12025356292725,-10.9338989257812,0.00240427535027266,-5.95583248138428,-11,0.364072024822235,-6,9.22684308432134,-1,-11,-6,0,0,1.82,0.72780229725,6.0431,1.41,0.3
"93",3090,0,1.81876218318939,0,-3.96195316314697,0,8.13920307159424,-10.9558887481689,0.00192822865210474,-5.93398284912109,-11,0.364072024822235,-6,9.23317912147405,-1,-11,-6,0,0,1.82,0.72780229725,6.73374,1.41,0.3
"94",3094,0,1.81876218318939,0,-5.11358976364136,0,-7.48046970367432,-11,-0.0103037236258388,-5.87805843353271,-11,0.15188305079937,-6,9.24197618334817,-1,-11,-6,0,0,1.82,0.72780229725,7.42438,1.41,0.3
"95",3103,0,1.81876218318939,0,-2.75744271278381,0,8.42735385894775,-11.0948371887207,-0.0172423236072063,-5.08514022827148,-11,-0.0906185805797577,-5,9.05161203548311,-1,-11,-5,0,0,1.82,0.72780229725,0.34532,1.41,0.3
"96",3107,0,1.81876218318939,0,-5.86970472335815,0,-6.55768775939941,-10.9965858459473,-0.506325244903564,-5.08114719390869,-11,0.333759307861328,-5,8.98691265590437,-1,-11,-5,0,0,1.82,0.72780229725,1.03596,1.41,0.3
"97",3109,0,1.81876218318939,0,8.6464786529541,0,-1.7760626077652,-10.9896545410156,0.350202620029449,-5.18079662322998,-11,-0.181556686758995,-5,9.01242980665154,-1,-11,-5,0,0,1.82,0.72780229725,1.38128,1.41,0.3
"98",3111,0,1.81876218318939,0,-2.6955783367157,0,8.3851375579834,-11.0302648544312,0.0118005387485027,-5.03026437759399,-11,0.545948326587677,-5,8.99358492945647,-1,-11,-5,0,0,1.82,0.72780229725,1.7266,1.41,0.3
"99",3115,0,1.81876218318939,0,-2.76138234138489,0,8.35597133636475,-11.0361890792847,-0.0462583638727665,-4.99280118942261,-11,0.51563560962677,-5,8.98640006421484,-1,-11,-5,0,0,1.82,0.72780229725,2.41724,1.41,0.3
