X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,7,8,0,0,0.5,0.837758041,0.559,1.41,0.3,169814
-3,7,8,0,0,0.5,0.837758041,0.602,1.41,0.3,169815
-3,7,8,0,0,0.5,0.837758041,0.645,1.41,0.3,169816
-3,7,8,0,0,0.5,0.837758041,0.688,1.41,0.3,169817
-3,7,8,0,0,0.5,0.837758041,0.731,1.41,0.3,169818
-3,7,8,0,0,0.5,0.837758041,0.774,1.41,0.3,169819
-3,7,8,0,0,0.5,0.837758041,0.817,1.41,0.3,169820
-3,7,8,0,0,0.5,0.837758041,0.86,1.41,0.3,169821
-3,7,8,0,0,0.5,0.837758041,0.903,1.41,0.3,169822
-3,7,8,0,0,0.5,0.837758041,0.946,1.41,0.3,169823
-3,7,8,0,0,0.5,0.837758041,0.989,1.41,0.3,169824
-3,7,8,0,0,0.5,0.837758041,1.032,1.41,0.3,169825
-3,7,8,0,0,0.5,0.837758041,1.075,1.41,0.3,169826
-3,7,8,0,0,0.5,0.837758041,1.118,1.41,0.3,169827
-3,7,8,0,0,0.5,0.837758041,1.161,1.41,0.3,169828
-3,7,8,0,0,0.5,0.837758041,1.204,1.41,0.3,169829
-3,7,8,0,0,0.5,0.837758041,1.247,1.41,0.3,169830
-3,7,8,0,0,0.5,0.837758041,1.29,1.41,0.3,169831
-3,7,8,0,0,0.5,0.837758041,1.333,1.41,0.3,169832
-3,7,8,0,0,0.5,0.837758041,1.376,1.41,0.3,169833
-3,7,8,0,0,0.5,0.837758041,1.419,1.41,0.3,169834
-3,7,8,0,0,0.5,0.837758041,1.462,1.41,0.3,169835
-3,7,8,0,0,0.5,0.837758041,1.505,1.41,0.3,169836
-3,7,8,0,0,0.5,0.837758041,1.548,1.41,0.3,169837
-3,7,8,0,0,0.5,0.837758041,1.591,1.41,0.3,169838
-3,7,8,0,0,0.5,0.837758041,1.634,1.41,0.3,169839
-3,7,8,0,0,0.5,0.837758041,1.677,1.41,0.3,169840
-3,7,8,0,0,0.5,0.837758041,1.72,1.41,0.3,169841
-3,7,8,0,0,0.5,0.837758041,1.763,1.41,0.3,169842
-3,7,8,0,0,0.5,0.837758041,1.806,1.41,0.3,169843
